epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,6099.29,1.59276,0.63008,0.00298,0.89217,0.87755,0.94507,0.60072,1.84976,0.81265,0.00499,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6226.08,1.58063,0.62735,0.00311,0.89007,0.93947,0.96307,0.6351,1.73877,0.72848,0.00456,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6353.37,1.5521,0.62126,0.00298,0.78557,0.93514,0.91758,0.57563,1.80979,0.74517,0.00486,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6480.01,1.55901,0.63,0.00301,0.90713,0.93939,0.95717,0.56583,1.7772,0.60533,0.00467,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6606.06,1.59603,0.60491,0.0031,0.92732,0.89568,0.9632,0.59438,1.80875,0.61354,0.00464,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6732.71,1.54603,0.59791,0.00289,0.91512,0.86523,0.95188,0.56856,1.87103,0.68123,0.00498,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6859.37,1.5817,0.61362,0.00304,0.95205,0.87502,0.95828,0.59619,1.92489,0.62625,0.00514,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6986.02,1.5432,0.61746,0.00306,0.89852,0.90651,0.94996,0.58993,1.92567,0.63848,0.0052,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7113.84,1.55669,0.60653,0.00293,0.91602,0.91829,0.96672,0.58622,1.85571,0.69582,0.00502,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7243.04,1.57777,0.62168,0.00302,0.91213,0.90893,0.96446,0.61774,2.00371,0.63534,0.00551,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7369.81,1.57752,0.60034,0.00311,0.89136,0.91232,0.95864,0.56236,2.04392,0.66945,0.00562,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7496.3,1.5305,0.58499,0.00282,0.89992,0.93968,0.96206,0.61498,1.82824,0.64381,0.00485,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7629.4,1.52732,0.59007,0.00279,0.84665,0.89048,0.95428,0.61493,1.82605,0.63414,0.00484,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7756.17,1.55062,0.57176,0.003,0.94026,0.87227,0.95112,0.60872,1.80949,0.66547,0.0048,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7882.6,1.53974,0.58326,0.00297,0.92898,0.90844,0.94753,0.58244,1.84836,0.65106,0.0049,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8009.66,1.51651,0.56515,0.00278,0.94531,0.88339,0.95827,0.57296,1.92956,0.62873,0.00524,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8137.06,1.50537,0.53608,0.00278,0.92278,0.90372,0.96671,0.61604,1.88344,0.58212,0.00496,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8263.31,1.49983,0.54443,0.0029,0.94334,0.93948,0.96797,0.65107,1.83192,0.554,0.00485,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8389.31,1.52457,0.5335,0.00293,0.91655,0.9378,0.96278,0.62602,1.93405,0.62124,0.00543,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8515.65,1.48883,0.53755,0.00286,0.90425,0.78743,0.91559,0.59163,1.87439,0.58419,0.00503,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8642.16,1.48246,0.5318,0.00289,0.86783,0.83181,0.92414,0.59857,1.80526,0.66671,0.00502,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8769.14,1.46502,0.53055,0.00284,0.95534,0.92255,0.96846,0.63664,1.79517,0.56285,0.00474,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8895.01,1.44224,0.52624,0.00291,0.93359,0.94937,0.97514,0.61982,1.78294,0.60604,0.00474,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9022.47,1.4808,0.54436,0.00288,0.84596,0.94739,0.9256,0.59553,1.88554,0.56637,0.00516,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9149.01,1.47748,0.516,0.00277,0.94019,0.94571,0.97552,0.66912,1.75779,0.61321,0.00471,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9276.74,1.49306,0.53011,0.00278,0.93082,0.94134,0.97099,0.63662,1.76748,0.69173,0.00467,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
